"geoid","totpopraceeth","WNH","BNH","aianNH","asianNH","nhopiNH","hispanic","totpoprace","W","B","totpopraceinc","NHW100_125","NHW125_150","NHW150_200","NHW200up","Bund10","B10_15","B15_20","totpoppov","belowpov","inc100_125","inc125_150","inc150_200","inc200up","incund10","inc10_15","inc15_20","ICErace","ICEraceinc","percWNH","percBNH","perc_hispanic","perc_asianNH","perc_aianNH","perc_nhopiNH","percpov","ICEinc"
"25009210500",6436,6190,30,0,79,0,137,6436,6264,93,2279,166,156,232,154,0,0,0,6436,168,166,172,232,175,65,51,57,0.957116221255438,0.310662571303203,0.96177750155376,0.00466128029832194,0.0212865133623369,0.0122747047855811,0,0,0.0261031696706029,0.250987275120667
"25009213100",7990,7749,0,0,113,0,63,7990,7782,0,2735,473,224,513,687,0,0,0,7990,207,473,224,531,695,14,79,39,0.969837296620776,0.693601462522852,0.969837296620776,0,0.00788485607008761,0.0141426783479349,0,0,0.0259073842302879,0.654844606946984
"25009217100",7422,6886,101,0,167,0,105,7422,6990,101,2756,259,210,266,180,0,0,0,7141,628,301,210,276,180,116,124,68,0.914174077068176,0.33200290275762,0.927782268930208,0.0136081918620318,0.0141471301535974,0.0225006736728645,0,0,0.0879428651449377,0.23911465892598
"25009223200",3799,3675,0,0,64,0,23,3799,3698,0,1676,168,198,91,71,0,0,0,3750,217,168,198,91,71,30,93,86,0.967359831534614,0.315035799522673,0.967359831534614,0,0.00605422479599895,0.0168465385627797,0,0,0.0578666666666667,0.190334128878282
"25009250400",3650,256,9,0,6,0,3379,3650,674,186,1270,0,0,0,0,17,0,0,3612,1337,0,8,14,0,338,198,72,0.0676712328767123,-0.0133858267716535,0.0701369863013699,0.00246575342465753,0.925753424657534,0.00164383561643836,0,0,0.37015503875969,-0.461417322834646
"25009250900",2267,171,0,0,26,0,2070,2267,596,176,809,0,0,0,0,9,20,0,2249,918,36,21,0,0,97,161,52,0.0754300838112042,-0.0358467243510507,0.0754300838112042,0,0.913101014556683,0.0114689016321129,0,0,0.408181413961761,-0.312731767614339
"25009251200",1435,189,44,0,0,0,1173,1435,451,162,575,0,13,0,0,0,18,0,1435,503,12,19,0,0,96,77,114,0.101045296167247,-0.00869565217391304,0.131707317073171,0.0306620209059233,0.817421602787456,0,0,0,0.350522648083624,-0.445217391304348
"25009252502",4512,3687,0,0,194,0,595,4512,3949,8,1708,159,137,135,14,0,0,0,4394,219,166,190,150,14,66,139,52,0.817154255319149,0.260538641686183,0.817154255319149,0,0.131870567375887,0.0429964539007092,0,0,0.0498406918525262,0.153981264637002
"25009254302",4584,3834,34,0,420,0,125,4584,3896,34,1579,86,148,212,412,0,0,0,4584,116,86,148,260,481,25,8,31,0.828970331588133,0.543381887270424,0.836387434554974,0.00741710296684119,0.0272687609075044,0.0916230366492147,0,0,0.0253054101221641,0.576947435085497
"25009254402",6721,5080,130,26,1136,0,134,6721,5196,130,2362,222,189,276,536,0,0,0,6721,263,278,247,417,620,108,35,15,0.736497545008183,0.517781541066892,0.755839904776075,0.0193423597678917,0.0199375092992114,0.169022466894807,0.00386847195357834,0,0.0391310816842732,0.594411515664691
"25009260301",4299,4163,14,2,0,0,112,4299,4217,14,1719,221,211,124,39,0,0,0,4196,391,221,211,124,39,63,108,51,0.965108164689463,0.346131471785922,0.968364735985113,0.00325657129565015,0.0260525703652012,0,0.000465224470807164,0,0.0931839847473785,0.216986620127981
"25013800400",6504,2267,859,0,21,0,3317,6504,3535,892,2151,134,0,0,37,0,0,0,6199,1475,174,0,0,37,197,121,163,0.216482164821648,0.0794979079497908,0.348554735547355,0.132072570725707,0.509993849938499,0.00322878228782288,0,0,0.237941603484433,-0.125523012552301
"25013801300",4574,566,2258,27,68,0,1403,4574,1120,2324,1444,14,6,23,0,146,33,40,4513,1611,25,15,46,21,381,101,102,-0.369916921731526,-0.121883656509695,0.123742894621775,0.493659816353301,0.306733712286839,0.014866637516397,0.00590292960209882,0,0.356968756924441,-0.330332409972299
"25013800500",3221,966,305,0,0,0,1922,3221,1732,312,1083,31,10,21,0,18,19,7,3166,478,48,14,30,0,78,137,44,0.205215771499534,0.0166204986149584,0.299906861223223,0.0946910897236883,0.596709096553865,0,0,0,0.150979153506001,-0.154201292705448
"25013800900",4193,352,436,0,0,0,3288,4193,1981,466,1693,0,0,0,0,98,56,19,4139,2476,0,22,0,0,684,394,99,-0.0200333889816361,-0.102185469580626,0.083949439542094,0.10398282852373,0.784164082995469,0,0,0,0.598212128533462,-0.68222090962788
"25013801200",2554,407,588,0,0,3,1527,2554,825,682,1140,40,0,0,0,123,45,50,2466,1277,40,0,8,0,344,150,164,-0.0708692247454973,-0.156140350877193,0.159357870007831,0.230227094753328,0.59788566953798,0,0,0.00117462803445576,0.517842660178427,-0.535087719298246
"25013802200",3132,808,571,2,170,0,1490,3132,1189,611,1043,0,33,3,0,15,0,18,3123,1459,10,33,3,1,138,160,105,0.0756704980842912,0.00287631831255992,0.257982120051086,0.182311621966794,0.4757343550447,0.0542784163473819,0.000638569604086846,0,0.467178994556516,-0.341323106423778
"25013810100",6095,5911,1,0,0,0,122,6095,6033,1,2568,254,130,58,58,0,0,0,6040,549,254,130,58,58,124,166,207,0.969647251845775,0.194704049844237,0.969811320754717,0.000164068908941756,0.0200164068908942,0,0,0,0.0908940397350993,0.00116822429906542
"25013810200",2772,2709,10,0,0,0,0,2772,2709,10,1113,108,32,72,30,0,10,0,2692,179,108,32,72,30,57,38,27,0.973665223665224,0.208445642407907,0.977272727272727,0.00360750360750361,0,0,0,0,0.0664933135215453,0.107816711590297
"25013810601",4145,3439,97,8,191,0,380,4145,3692,119,1992,131,27,0,9,0,0,0,4145,301,131,27,0,9,77,98,96,0.80627261761158,0.0838353413654618,0.829674306393245,0.0234016887816647,0.0916767189384801,0.0460796139927624,0.00193003618817853,0,0.0726176115802171,-0.0522088353413655
"25013811500",2125,115,67,34,0,0,1909,2125,1541,82,740,0,0,0,0,21,0,0,2125,1540,0,0,0,0,260,238,68,0.0225882352941176,-0.0283783783783784,0.0541176470588235,0.0315294117647059,0.898352941176471,0,0.016,0,0.724705882352941,-0.764864864864865
"25013811800",4501,2097,250,12,35,0,2102,4501,3888,250,1723,0,8,19,0,0,0,0,4495,1276,10,8,19,42,130,277,133,0.410353254832259,0.0156703424260012,0.465896467451677,0.0555432126194179,0.467007331704066,0.00777604976671851,0.00266607420573206,0,0.283870967741935,-0.267556587347649
"25013812101",4947,4477,17,0,11,0,430,4947,4738,17,2024,231,157,98,82,0,0,0,4682,166,231,157,98,99,81,61,84,0.901556498888215,0.280632411067194,0.904992925005054,0.00343642611683849,0.0869213664847382,0.00222356984030726,0,0,0.0354549337889791,0.177371541501976
"25013812903",2161,1894,134,0,24,0,109,2161,1922,134,28,0,9,0,3,0,0,0,93,7,0,9,0,3,3,4,0,0.814437760296159,0.428571428571429,0.876446089773253,0.0620083294770939,0.0504396112910689,0.011105969458584,0,0,0.0752688172043011,0.178571428571429
"25013813205",7277,6800,119,174,37,0,88,7277,6844,119,2911,373,242,168,44,0,0,0,7084,512,398,242,168,44,139,174,121,0.918098117356053,0.284094812779114,0.934451010031606,0.0163528926755531,0.0120928954239384,0.00508451284870139,0.0239109523155146,0,0.0722755505364201,0.143593266918585
"25013813602",6366,6164,0,0,169,0,0,6366,6164,0,2299,338,217,374,364,0,0,0,6346,90,338,217,374,364,74,43,28,0.968268928683632,0.562418442801218,0.968268928683632,0,0,0.0265472824379516,0,0,0.0141821619918059,0.499347542409743
"25021422100",5619,4864,279,37,231,0,102,5619,4966,279,1952,291,170,252,143,0,11,0,5619,240,330,202,260,143,65,57,63,0.815981491368571,0.432889344262295,0.865634454529276,0.0496529631607047,0.0181526962092899,0.0411105178857448,0.00658480156611497,0,0.0427122263747998,0.38422131147541
"25021422200",6985,6368,74,26,265,0,57,6985,6425,74,3022,231,284,239,111,0,0,0,6942,294,231,301,257,111,37,50,137,0.901073729420186,0.286234281932495,0.911667859699356,0.0105941302791696,0.00816034359341446,0.0379384395132427,0.00372226198997853,0,0.0423509075194468,0.223692918596956
"25021456101",3811,3255,354,32,80,0,58,3811,3288,357,1261,121,214,148,95,0,0,0,3557,215,143,227,160,140,47,86,22,0.76121752820782,0.458366375892149,0.854106533718184,0.0928890055103647,0.0152191025977434,0.0209918656520598,0.00839674626082393,0,0.0604441945459657,0.408406026962728
"25021400200",5648,4101,138,0,1062,0,278,5648,4337,138,2542,233,91,119,307,14,0,21,5604,1243,281,146,127,374,406,132,98,0.701664305949009,0.281274586939418,0.726097733711048,0.0244334277620397,0.0492209631728045,0.188031161473088,0,0,0.22180585296217,0.114870180959874
"25021411100",8135,7567,213,0,166,0,113,8135,7676,213,2927,415,265,326,363,0,0,27,8033,419,428,274,326,391,58,38,128,0.9039950829748,0.45848992142125,0.930178242163491,0.0261831591886908,0.0138905961893055,0.0204056545789797,0,0,0.0521598406572887,0.408267851042023
"25021411200",6614,5882,0,0,444,0,273,6614,5991,0,2358,245,182,115,151,0,0,0,6614,283,317,200,142,180,68,55,67,0.88932567281524,0.293893129770992,0.88932567281524,0,0.0412760810402177,0.0671303296038706,0,0,0.0427880254006653,0.275233248515691
"25021412200",3734,3538,9,0,53,0,44,3734,3582,9,1433,97,102,104,556,0,0,0,3702,49,97,117,109,565,27,20,83,0.945099089448313,0.599441730635031,0.947509373326192,0.00241028387787895,0.0117836100696304,0.0141938939475094,0,0,0.0132360886007563,0.528960223307746
"25021417200",8487,4042,152,0,3591,0,410,8487,4267,220,3304,311,131,66,28,44,0,0,8487,943,375,230,128,57,204,85,169,0.458348061741487,0.148910411622276,0.476257806056321,0.0179097443148345,0.0483091787439614,0.423117709437964,0,0,0.111111111111111,0.100484261501211
"25021417601",5385,3307,219,3,1402,0,270,5385,3414,230,2024,94,85,82,117,0,0,0,4875,174,122,156,82,156,77,71,45,0.573444753946147,0.186758893280632,0.614113277623027,0.0406685236768802,0.0501392757660167,0.260352831940576,0.000557103064066852,0,0.0356923076923077,0.159584980237154
"25021419300",3669,2870,278,0,313,0,51,3669,2903,278,1345,99,70,90,33,26,9,0,3640,497,141,82,110,33,110,98,52,0.706459525756337,0.191078066914498,0.782229490324339,0.0757699645680022,0.0139002452984464,0.0853093485963478,0,0,0.136538461538462,0.0788104089219331
"25021419700",3445,3027,0,0,375,0,38,3445,3065,0,1315,115,61,114,93,0,0,0,3367,150,190,72,153,93,65,30,38,0.87866473149492,0.291254752851711,0.87866473149492,0,0.0110304789550073,0.108853410740203,0,0,0.0445500445500445,0.285171102661597
"25021420100",7959,3718,2221,23,1462,0,381,7959,3796,2333,2822,248,34,131,119,17,0,98,7928,613,378,110,223,225,170,54,157,0.188088955898982,0.14776754075124,0.467144113582108,0.279055157683126,0.0478703354692801,0.183691418519915,0.00288981027767307,0,0.0773208879919274,0.196669029057406
"25021420202",6266,1938,3002,0,657,0,579,6266,2044,3030,2406,42,30,96,33,98,113,11,6266,613,149,84,163,135,172,113,141,-0.169805298436004,-0.00872817955112219,0.309288222151293,0.479093520587297,0.0924034471752314,0.104851579955314,0,0,0.0978295563357804,0.043640897755611
"25021422302",6280,5355,480,0,374,0,57,6280,5412,480,2984,349,180,120,167,39,0,0,6147,292,363,180,120,188,137,77,101,0.776273885350318,0.260388739946381,0.852707006369427,0.0764331210191083,0.00907643312101911,0.0595541401273885,0,0,0.0475028469171954,0.179624664879357
"25021422400",7826,6753,354,0,383,0,300,7826,6915,456,3357,254,310,221,165,0,0,49,7552,1060,335,336,221,178,163,282,260,0.817659085100946,0.268394399761692,0.862892921032456,0.0452338359315103,0.0383337592639918,0.0489394326603629,0,0,0.140360169491525,0.108728030980042
"25021422501",4678,3942,315,0,130,0,92,4678,3984,365,2068,288,56,108,58,0,0,0,4678,349,303,104,108,66,129,68,49,0.775331338178709,0.246615087040619,0.842667806755024,0.0673364685763147,0.0196665241556221,0.0277896536981616,0,0,0.0746045318512185,0.161992263056093
"25021422502",5482,4383,309,16,424,0,265,5482,4458,485,2344,198,110,49,32,36,0,0,5482,936,198,119,183,32,236,126,58,0.743159430864648,0.150597269624573,0.799525720539949,0.056366289675301,0.0483400218898212,0.077344035023714,0.00291864283108355,0,0.170740605618387,0.0477815699658703
"25021456200",3340,2220,804,15,37,0,19,3340,2229,804,1184,58,77,95,52,13,0,0,3231,111,95,124,115,84,19,53,44,0.423952095808383,0.227195945945946,0.664670658682635,0.240718562874252,0.00568862275449102,0.0110778443113772,0.00449101796407186,0,0.0343546889507892,0.255067567567568
"25021400400",5735,4509,129,0,844,0,162,5735,4671,129,2988,359,138,210,328,0,0,0,5639,767,392,156,243,374,367,263,109,0.763731473408893,0.346385542168675,0.786224934612031,0.0224934612031386,0.0282476024411508,0.14716652136007,0,0,0.136017024295088,0.142570281124498
"25021403100",6935,6103,135,0,272,0,309,6935,6285,135,2208,302,252,282,601,0,0,0,6935,135,302,252,335,685,0,40,39,0.86056236481615,0.650815217391304,0.880028839221341,0.0194664744051911,0.0445565969718818,0.0392213410237924,0,0,0.0194664744051911,0.677083333333333
"25021403500",5747,4648,78,0,755,0,102,5747,4748,78,2249,171,113,166,431,42,36,0,5636,219,222,124,177,573,91,104,54,0.795197494344876,0.357047576700756,0.808769792935445,0.013572298590569,0.0177483904645902,0.131372890203584,0,0,0.0388573456352023,0.37661182747888
"25021404202",5059,3996,195,0,509,33,149,5059,4100,195,1181,106,97,196,364,0,0,0,3149,131,128,97,196,444,53,0,13,0.751334255781775,0.64606265876376,0.789879422810832,0.0385451670290571,0.0294524609606642,0.100612769322,0,0.00652302826645582,0.0416005080978088,0.676545300592718
"25017324101",4719,4415,0,11,249,0,39,4719,4425,0,1708,289,103,240,177,0,0,0,4627,297,304,103,267,199,110,45,78,0.935579571943208,0.473653395784543,0.935579571943208,0,0.00826446280991736,0.05276541640178,0.00233100233100233,0,0.0641884590447374,0.374707259953162
"25017317301",2850,2243,7,0,356,0,165,2850,2387,12,1150,90,85,73,32,0,0,0,2826,41,140,128,89,80,36,82,37,0.784561403508772,0.243478260869565,0.787017543859649,0.00245614035087719,0.0578947368421053,0.124912280701754,0,0,0.0145081387119604,0.245217391304348
"25017317302",5889,4803,16,0,525,0,450,5889,4814,16,2537,322,200,307,56,0,0,0,5889,607,322,231,344,80,97,197,107,0.812871455255561,0.348837209302326,0.815588385124809,0.00271692986924775,0.076413652572593,0.0891492613346918,0,0,0.103073526914587,0.227039810800158
"25017320103",2730,2516,0,0,190,0,16,2730,2530,0,999,97,97,77,198,0,0,0,2722,114,115,116,83,222,48,16,90,0.921611721611722,0.469469469469469,0.921611721611722,0,0.00586080586080586,0.0695970695970696,0,0,0.0418809698750918,0.382382382382382
"25017320104",7230,6938,3,0,124,0,62,7230,6967,3,2275,388,156,355,623,0,0,0,7155,70,396,174,394,642,21,9,44,0.959197786998617,0.669010989010989,0.959612724757953,0.0004149377593361,0.00857538035961273,0.0171507607192255,0,0,0.00978336827393431,0.673406593406593
"25025160101",9120,1043,314,0,0,0,7135,9120,3298,444,2118,33,18,0,0,0,0,40,8940,2981,162,98,35,47,129,193,86,0.0799342105263158,0.00519357884796978,0.114364035087719,0.0344298245614035,0.78234649122807,0,0,0,0.3334451901566,-0.0311614730878187
"25025160501",5241,841,602,0,39,0,3709,5241,2221,612,1752,49,9,0,0,18,26,16,5241,1184,60,57,15,9,177,245,131,0.0456019843541309,-0.00114155251141553,0.160465560007632,0.114863575653501,0.707689372257203,0.00744132799084144,0,0,0.225911085670674,-0.235159817351598
"25025160502",4295,1534,41,0,188,0,2220,4295,2562,55,1495,108,15,42,23,0,14,0,4233,669,195,15,42,23,169,103,33,0.347613504074505,0.116387959866221,0.357159487776484,0.00954598370197905,0.516880093131548,0.0437718277066356,0,0,0.158043940467753,-0.020066889632107
"25025160601",3987,1538,382,9,258,0,1451,3987,1922,400,1322,78,20,4,39,17,0,0,3783,839,117,20,4,39,209,90,35,0.289942312515676,0.0937972768532526,0.385753699523451,0.0958113870077753,0.363932781540005,0.0647103085026336,0.00225733634311512,0,0.221781654771345,-0.116490166414523
"25025160602",4484,1776,94,0,359,0,2111,4484,2745,165,1628,12,27,46,18,32,0,19,4477,1040,98,72,85,18,243,97,113,0.375111507582516,0.0319410319410319,0.39607493309545,0.0209634255129349,0.47078501338091,0.0800624442462087,0,0,0.232298414116596,-0.110565110565111
"25025170501",3573,2137,140,23,150,0,975,3573,2571,140,1644,146,7,13,34,27,9,7,3573,918,164,7,13,34,327,125,99,0.558914077805765,0.0954987834549878,0.598096837391548,0.0391827595857823,0.272879932829555,0.0419815281276238,0.00643716764623566,0,0.256926952141058,-0.202554744525547
"25025140105",3612,1186,1325,0,54,0,935,3612,1667,1453,1254,87,38,32,70,25,0,0,3612,161,132,62,52,98,76,20,31,-0.0384828349944629,0.161084529505582,0.328349944629014,0.366832779623477,0.258859357696567,0.0149501661129568,0,0,0.0445736434108527,0.17304625199362
"25025170502",3118,2484,28,0,68,0,440,3118,2826,28,1388,108,47,119,40,0,0,0,3118,231,136,71,119,40,124,48,102,0.787684413085311,0.226224783861671,0.796664528543938,0.00898011545862733,0.141116100064144,0.0218088518280949,0,0,0.0740859525336754,0.0662824207492795
"25025170601",5684,3246,85,0,325,0,1986,5684,3910,85,1873,108,54,92,67,20,0,0,5664,1087,135,71,92,67,171,109,174,0.556122448979592,0.160704751735184,0.571076706544687,0.014954257565095,0.349401829697396,0.0571780436312456,0,0,0.19191384180791,-0.0475173518419648
"25025170701",2163,1303,76,0,71,0,679,2163,1851,103,887,23,14,43,8,44,12,0,2163,370,32,14,43,8,119,79,47,0.567267683772538,0.0360766629086809,0.602404068423486,0.0351363846509478,0.313915857605178,0.0328247803975959,0,0,0.171058714748035,-0.166854565952649
"25017354400",1702,1548,11,20,11,0,46,1702,1572,11,771,92,47,79,150,0,0,0,1697,92,100,56,79,163,22,17,0,0.903055229142186,0.477302204928664,0.90951821386604,0.00646298472385429,0.027027027027027,0.00646298472385429,0.0117508813160987,0,0.0542133176193282,0.465629053177691
"25021417602",5154,3711,0,0,1282,0,39,5154,3742,7,2273,213,99,169,39,0,0,0,5109,851,216,99,169,39,168,295,66,0.720023282887078,0.228772547294325,0.720023282887078,0,0.00756693830034924,0.248738843616608,0,0,0.166568800156586,-0.00263968323801144
"25021418200",6810,4862,507,0,930,0,297,6810,5029,507,2686,313,105,215,78,0,0,23,6810,640,364,161,265,103,98,75,170,0.639500734214391,0.25614296351452,0.713950073421439,0.0744493392070485,0.0436123348017621,0.136563876651982,0,0,0.0939794419970631,0.204765450483991
"25021419400",3012,2773,8,0,68,0,31,3012,2804,8,1168,85,135,113,73,0,0,0,3012,127,85,135,113,73,15,87,12,0.917994687915007,0.347602739726027,0.920650730411687,0.00265604249667995,0.0102921646746348,0.0225763612217795,0,0,0.0421646746347942,0.25
"25021420302",8380,2594,4299,0,791,0,487,8380,2708,4481,2871,140,95,46,38,17,114,107,8156,573,321,228,157,91,33,231,126,-0.20346062052506,0.0282131661442006,0.309546539379475,0.513007159904535,0.0581145584725537,0.0943914081145585,0,0,0.0702550269740069,0.14176245210728
"25021440100",8278,7697,63,42,210,0,141,8278,7814,73,3276,417,294,348,231,0,0,0,8278,390,474,308,359,255,163,44,192,0.922203430780382,0.393772893772894,0.929813964725779,0.00761053394539744,0.0170330997825562,0.0253684464846581,0.00507368929693163,0,0.0471128291857937,0.304334554334554
"25021400800",5481,3810,75,0,878,0,569,5481,3903,90,2472,147,67,313,321,20,0,0,5223,1114,196,122,327,365,373,183,48,0.681444991789819,0.33495145631068,0.695128626163109,0.0136836343732895,0.10381317277869,0.160189746396643,0,0,0.213287382730232,0.164239482200647
"25021404400",6721,4982,271,0,797,0,451,6721,5323,271,1667,126,78,201,510,0,0,0,4024,68,137,87,243,564,8,67,59,0.700937360511829,0.548890221955609,0.741258741258741,0.0403213807469127,0.0671031096563011,0.118583544115459,0,0,0.0168986083499006,0.538092381523695
"25021414200",7359,5793,419,0,1032,0,115,7359,5886,419,2457,179,114,358,637,0,0,0,7359,189,207,164,496,755,15,28,30,0.730262263894551,0.524216524216524,0.787199347737464,0.0569370838429134,0.0156271232504416,0.140236445169181,0,0,0.0256828373420302,0.63044363044363
"25021412100",6156,5690,0,0,194,0,120,6156,5810,0,2221,248,160,438,443,0,0,0,6156,329,248,168,438,524,122,31,59,0.924301494476933,0.580369203061684,0.924301494476933,0,0.0194931773879142,0.0315139701104613,0,0,0.0534437946718648,0.524988743809095
"25021412300",4726,4113,113,0,359,0,82,4726,4182,113,1601,149,175,208,301,0,0,0,4726,98,172,193,246,352,33,45,42,0.846381718154888,0.520299812617114,0.870292001692763,0.0239102835378756,0.0173508252221752,0.0759627592044012,0,0,0.0207363520947948,0.526545908806996
"25021415102",8113,6559,763,0,414,0,147,8113,6646,763,3286,470,172,323,162,21,0,0,8113,585,499,185,349,213,127,103,94,0.714408973252804,0.336579427875837,0.808455565142364,0.09404659188956,0.0181190681622088,0.0510292123752003,0,0,0.0721064957475656,0.280584297017651
"25021417801",5044,4780,77,0,46,0,141,5044,4877,77,2117,257,341,88,72,0,0,0,5044,220,257,341,88,72,51,75,81,0.932394924662966,0.358053849787435,0.947660586835845,0.0152656621728787,0.0279540047581285,0.0091197462331483,0,0,0.0436161776367962,0.26027397260274
"25021417901",5986,4138,562,0,967,0,307,5986,4264,621,3146,96,98,0,32,0,68,97,5986,765,136,119,72,70,293,428,224,0.597393919144671,0.019389701207883,0.691279652522553,0.0938857333778817,0.051286334781156,0.161543601737387,0,0,0.127798195790177,-0.17418944691672
"25021422600",6521,5845,35,26,184,0,209,6521,5972,35,2459,381,216,265,97,0,0,0,6485,267,390,249,265,97,166,71,83,0.89096764299954,0.389995933306222,0.896334917957369,0.00536727495782855,0.0320502990338905,0.0282165312068701,0.00398711854010121,0,0.0411719352351581,0.276941846278975
"25021422700",3656,3364,26,0,199,0,38,3656,3382,26,1529,222,161,56,57,0,0,0,3656,236,232,161,56,57,62,41,49,0.913019693654267,0.324395029431001,0.920131291028446,0.00711159737417943,0.0103938730853392,0.0544310722100656,0,0,0.0645514223194748,0.231523871811642
"25021441202",2790,2637,7,0,0,0,67,2790,2704,7,891,116,89,74,242,0,0,0,2790,36,135,89,83,251,0,7,5,0.942652329749104,0.584736251402918,0.945161290322581,0.0025089605734767,0.0240143369175627,0,0,0,0.0129032258064516,0.612794612794613
"25021443101",7552,6850,216,0,105,0,215,7552,7048,216,3037,397,312,299,56,0,0,0,7548,232,414,350,299,80,45,58,76,0.878442796610169,0.350345735923609,0.907044491525424,0.0286016949152542,0.0284692796610169,0.0139036016949153,0,0,0.0307366189719131,0.317418505103721
"25021456102",5074,4169,499,0,221,0,137,5074,4285,505,2045,278,205,147,57,0,0,0,5039,281,292,205,218,57,82,117,149,0.723295230587308,0.335941320293399,0.82163973196689,0.0983445013795822,0.0270003941663382,0.0435553803705164,0,0,0.0557650327445922,0.207334963325183
"25021457100",4349,3538,509,10,35,0,207,4349,3607,528,1638,169,134,60,55,0,0,0,4349,62,194,154,84,65,31,44,45,0.696481949873534,0.255189255189255,0.813520349505633,0.117038399632099,0.0475971487698321,0.00804782708668659,0.00229937916762474,0,0.0142561508392734,0.23015873015873
"25021400900",3760,2357,238,0,639,0,381,3760,2673,267,1878,140,75,83,235,0,38,0,3741,414,158,169,83,273,183,87,33,0.563563829787234,0.263578274760383,0.62686170212766,0.0632978723404255,0.101329787234043,0.169946808510638,0,0,0.110665597433841,0.20234291799787
"25021401100",4509,3480,36,0,669,0,203,4509,3662,39,1637,70,83,178,516,0,0,0,4322,263,115,127,195,605,42,69,0,0.763805721889554,0.517409896151497,0.771789753825682,0.00798403193612774,0.0450210689731648,0.148369926813041,0,0,0.0608514576584914,0.568723274282224
"25021401200",6920,4602,204,0,1874,0,107,6920,4673,218,2496,220,202,259,545,0,0,0,6371,261,332,352,275,642,183,47,13,0.635549132947977,0.491185897435897,0.665028901734104,0.0294797687861272,0.0154624277456647,0.270809248554913,0,0,0.0409668811803485,0.544070512820513
"25021403400",6536,5505,134,0,520,0,250,6536,5616,189,2443,151,151,302,644,20,0,0,5990,340,183,151,302,770,156,95,85,0.821756425948592,0.502660663119116,0.842258261933905,0.0205018359853121,0.038249694002448,0.0795593635250918,0,0,0.0567612687813022,0.437986082685223
"25021404201",3658,3433,0,0,107,0,56,3658,3489,0,1205,82,96,90,660,0,0,0,3658,83,82,102,98,680,0,27,10,0.938490978676873,0.770124481327801,0.938490978676873,0,0.0153089119737562,0.0292509568069984,0,0,0.0226899945325314,0.767634854771784
"25021404301",5233,4702,0,0,412,0,51,5233,4739,14,1810,107,200,175,773,0,0,0,5233,114,120,238,193,841,25,7,19,0.898528568698643,0.693370165745856,0.898528568698643,0,0.0097458436843111,0.0787311293712975,0,0,0.0217848270590483,0.740883977900552
"25021405100",5608,5048,32,12,374,0,49,5608,5085,32,1834,68,129,237,761,0,0,0,5608,79,68,148,259,839,17,19,0,0.894436519258203,0.651581243184297,0.900142653352354,0.00570613409415121,0.00873751783166904,0.0666904422253923,0.0021398002853067,0,0.0140870185449358,0.696837513631407
"25021413100",5959,5519,134,0,127,0,139,5959,5611,134,2316,399,206,196,175,0,30,0,5956,268,456,222,196,175,86,106,49,0.903675113274039,0.40846286701209,0.926162107736197,0.0224869944621581,0.0233260614197013,0.0213123007215976,0,0,0.0449966420416387,0.348877374784111
"25021413200",6058,5614,161,0,96,0,135,6058,5655,161,2560,254,137,190,75,0,0,0,5814,307,286,137,209,107,89,80,123,0.900132056784417,0.25625,0.926708484648399,0.0265764278639815,0.0222845823704193,0.0158468141300759,0,0,0.0528035775713794,0.174609375
"25021413300",5150,4687,57,0,92,0,170,5150,4815,57,1898,176,164,249,149,0,0,0,5094,300,176,164,249,160,41,60,39,0.899029126213592,0.388830347734457,0.910097087378641,0.0110679611650485,0.0330097087378641,0.0178640776699029,0,0,0.0588928150765607,0.32086406743941
"25021413500",4176,3188,151,0,84,0,563,4176,3197,151,1689,99,147,110,63,0,0,11,4176,612,132,147,136,80,62,58,11,0.727250957854406,0.241563055062167,0.763409961685824,0.0361590038314176,0.134818007662835,0.0201149425287356,0,0,0.146551724137931,0.215512137359384
"25021414300",4928,4251,148,0,201,0,132,4928,4320,148,1879,192,181,192,270,0,0,0,4914,327,203,221,225,293,94,114,78,0.832589285714286,0.444385311335817,0.862621753246753,0.0300324675324675,0.0267857142857143,0.0407873376623377,0,0,0.0665445665445665,0.349121873336881
"25021416300",4803,3368,1099,0,112,0,164,4803,3475,1134,1720,178,84,182,250,0,47,47,4803,452,231,84,229,304,43,47,80,0.472413075161357,0.348837209302326,0.701228398917343,0.228815323755986,0.0341453258380179,0.0233187591088903,0,0,0.0941078492608786,0.394186046511628
"25021416400",6236,5499,104,0,230,0,365,6236,5864,104,2146,249,306,288,319,0,0,0,6236,26,249,328,288,482,0,27,47,0.865137908915972,0.541472506989748,0.88181526619628,0.0166773572803079,0.058531109685696,0.0368826170622194,0,0,0.00416933932007697,0.593196644920783
"25021417501",5522,3226,0,0,2065,0,47,5522,3226,0,2002,166,126,155,6,0,0,0,5478,494,166,210,216,6,74,50,47,0.584208620065194,0.226273726273726,0.584208620065194,0,0.00851140890981528,0.373958710612097,0,0,0.0901788974078131,0.213286713286713
"25021418002",6771,4033,342,36,1930,0,291,6771,4270,342,3168,284,102,172,0,0,0,0,6729,426,453,304,172,28,66,159,197,0.545118889381184,0.176136363636364,0.595628415300546,0.050509525919362,0.0429774036331413,0.285039137498154,0.0053167922020381,0,0.0633080695497102,0.168876262626263
